amount,hour,freq_1h,freq_24h,avg_spend,spend_deviation,new_device,new_merchant,weekend,night_txn,fraud
8386.34,8,1,12,539.43,14.5199,0,0,0,0,1
984.35,9,2,4,687.2,0.4318,0,0,0,0,0
4940.88,12,0,1,365.34,12.4899,0,0,0,0,1
1886.45,9,1,2,1688.15,0.1174,1,0,0,0,0
416.68,14,2,7,326.78,0.2743,0,0,1,0,0
1885.77,20,1,3,258.08,6.2827,0,0,0,0,0
11015.46,16,2,6,400.32,26.4505,0,0,0,0,0
1039.26,15,1,4,1288.01,-0.193,0,0,1,0,0
11463.98,14,0,2,1355.04,7.4548,0,1,1,0,0
21.55,12,3,6,174.56,-0.8716,0,0,1,0,0
3762.56,8,0,7,570.88,5.5811,0,0,0,0,1
1249.59,19,2,3,49.46,23.7858,0,0,0,0,1
700.29,9,3,5,198.62,2.5131,0,0,0,0,0
1258.46,7,5,6,454.01,1.768,0,0,1,0,1
55.63,17,4,9,248.83,-0.7733,0,0,1,0,1
788.78,8,3,6,673.91,0.1702,0,0,0,0,0
1873.7,11,1,6,2594.66,-0.2778,0,0,0,0,0
10065.22,4,1,3,890.76,10.2881,0,0,0,1,1
504.01,7,1,4,3463.43,-0.8542,0,0,1,0,0
326.12,8,0,6,418.6,-0.2204,0,0,0,0,0
516.65,6,1,3,509.23,0.0145,0,0,1,0,0
4329.05,15,3,4,1393.92,2.1042,0,0,0,0,0
1795.66,18,3,5,2655.46,-0.3237,0,0,0,0,0
495.4,11,0,7,1158.98,-0.5721,0,0,1,0,1
2368.24,19,1,6,1700.43,0.3925,0,0,0,0,0
1268.53,8,2,8,564.71,1.2441,0,0,0,0,0
4688.97,10,4,5,202.48,22.0486,0,0,0,0,1
382.57,8,2,3,1462.31,-0.7379,0,0,0,0,0
670.82,14,1,5,443.6,0.5111,0,0,0,0,0
609.01,11,1,3,641.18,-0.0501,0,0,0,0,0
122.09,14,2,4,112.16,0.0877,0,0,1,0,0
1709.88,17,1,1,5648.12,-0.6971,0,0,0,0,0
1622.27,13,4,3,1517.79,0.0688,1,0,0,0,1
1105.08,15,1,2,2717.86,-0.5932,0,0,1,0,0
771.33,21,1,4,2458.31,-0.686,0,0,0,0,0
131.23,10,1,4,726.72,-0.8183,1,0,1,0,0
583.49,11,2,3,71.87,7.0205,0,1,0,0,0
655.85,16,1,1,694.67,-0.0558,0,1,0,0,0
329.17,14,2,4,330.89,-0.0052,0,0,0,0,0
860.98,8,2,2,2673.38,-0.6777,0,0,1,0,0
2010.37,11,1,3,1332.61,0.5082,0,0,1,0,0
18569.56,12,0,1,943.13,18.6695,0,0,0,0,1
1424.91,11,1,5,238.1,4.9637,0,0,1,0,0
1613.77,8,1,6,260.36,5.1783,0,0,0,0,0
980.76,20,3,8,123.56,6.882,0,0,0,0,0
61.67,17,0,5,224.64,-0.7222,0,0,0,0,0
1053.88,12,2,3,617.91,0.7044,0,0,0,0,0
1200.32,15,1,7,282.45,3.2383,0,0,0,0,1
44128.59,19,1,7,895.98,48.1978,0,0,0,0,0
821.77,7,4,4,1368.11,-0.399,0,0,0,0,1
1723.86,9,5,4,971.44,0.7737,0,0,0,0,1
1041.0,13,0,5,4723.48,-0.7794,0,0,1,0,0
189.99,17,1,4,512.89,-0.6283,0,0,0,0,1
6088.97,5,0,4,2309.42,1.6359,0,0,0,0,0
3387.68,22,2,5,2441.79,0.3872,0,0,0,0,0
3592.3,12,1,4,160.09,21.3061,0,0,1,0,0
280.32,11,0,1,1041.85,-0.7302,0,0,0,0,0
8992.91,9,1,5,3599.83,1.4977,0,0,1,0,0
133.92,8,3,3,423.61,-0.6823,1,0,0,0,0
2644.63,17,1,6,247.06,9.6652,0,0,0,0,1
29309.98,21,1,7,998.44,28.3273,0,0,0,0,0
248.19,11,1,3,823.61,-0.6978,0,0,0,0,1
468.98,21,2,4,8257.31,-0.9431,0,0,0,0,1
1273.44,18,3,5,2123.24,-0.4,0,0,0,0,0
515.32,12,1,5,1247.08,-0.5863,0,1,0,0,0
107.13,15,1,5,266.25,-0.5954,0,1,1,0,0
1215.42,12,1,5,119.24,9.1164,0,0,0,0,0
222.86,13,2,3,2608.87,-0.9142,0,0,1,0,0
2231.41,6,1,5,1050.63,1.1228,0,0,0,0,0
276.13,16,2,3,613.25,-0.5488,0,0,0,0,1
11213.81,6,1,4,678.29,15.5097,1,0,0,0,1
338.7,18,0,7,1298.72,-0.7386,0,0,0,0,0
676.48,18,1,5,332.45,1.0317,0,0,1,0,1
3715.53,9,0,5,51.58,69.6874,0,0,0,0,1
173.07,10,1,2,323.66,-0.4638,0,1,1,0,0
1542.55,12,3,6,583.71,1.6398,0,0,0,0,1
7790.92,14,2,2,208.27,36.2344,0,0,0,0,0
98.37,9,3,1,644.65,-0.8461,0,0,1,0,0
1446.57,14,2,4,6450.45,-0.7756,0,0,0,0,0
1619.42,10,2,5,618.6,1.6153,0,0,0,0,0
3543.02,6,2,6,142.84,23.6379,0,0,0,0,1
171.5,0,2,8,798.67,-0.7843,0,0,0,1,0
151.31,7,0,5,824.54,-0.8155,1,1,0,0,0
2399.25,17,0,9,633.86,2.7807,0,0,0,0,0
1712.1,21,2,2,165.77,9.2724,0,0,0,0,0
1596.77,12,1,3,1378.19,0.1585,0,0,0,0,1
1843.96,13,0,3,7052.76,-0.7384,0,0,0,0,0
395.43,8,1,6,2381.46,-0.8336,0,0,1,0,0
1553.68,13,1,13,2021.02,-0.2311,0,0,0,0,0
1702.08,8,2,4,156.28,9.8283,0,0,1,0,0
375.58,14,3,6,388.43,-0.033,0,0,0,0,0
18009.63,20,3,5,256.1,69.0541,0,0,1,0,0
2232.21,8,3,3,577.86,2.858,1,0,1,0,1
183.65,17,0,4,1503.45,-0.8773,0,0,1,0,0
2936.08,3,1,9,1383.12,1.122,0,0,0,1,0
254.16,11,3,4,758.15,-0.6639,0,0,0,0,0
3571.09,7,2,2,229.94,14.4676,0,0,0,0,1
6234.75,10,0,6,1566.59,2.9779,1,1,0,0,1
320.21,8,2,5,1137.2,-0.7178,0,0,0,0,0
4652.05,11,2,5,27.37,162.9962,0,0,0,0,1
2036.87,11,1,9,959.46,1.1218,0,0,0,0,1
3763.45,10,2,6,191.16,18.5905,0,0,0,0,0
18867.37,15,2,3,491.67,37.2986,0,0,0,0,0
758.94,20,0,5,235.94,2.2073,0,0,0,0,0
354.03,11,0,6,780.87,-0.5459,0,0,0,0,0
288.8,8,3,4,924.33,-0.6868,0,0,0,0,0
322.56,9,3,3,966.05,-0.6654,0,0,0,0,0
976.86,18,2,0,791.12,0.2345,0,0,1,0,1
1829.37,14,0,5,828.09,1.2077,1,0,0,0,0
1660.77,12,0,3,396.86,3.1768,0,0,0,0,0
3792.48,8,1,7,777.67,3.8717,0,0,0,0,0
1118.23,12,1,4,1410.14,-0.2069,0,0,0,0,0
9704.07,9,2,2,675.28,13.3507,0,0,0,0,0
737.31,21,0,7,681.86,0.0812,0,0,0,0,0
64877.34,19,0,2,249.75,257.7393,0,1,1,0,1
2803.16,7,2,3,1181.67,1.371,0,0,0,0,0
303.16,13,3,4,1962.38,-0.8451,1,0,0,0,1
220.01,8,1,6,1606.05,-0.8625,0,0,1,0,0
2261.33,11,3,11,524.61,3.3042,0,0,0,0,1
784.31,19,3,5,1988.58,-0.6053,0,0,0,0,1
3200.3,13,2,6,720.83,3.435,0,0,0,0,0
2230.22,10,3,9,139.01,14.9363,0,0,0,0,0
983.15,8,1,4,1692.75,-0.419,0,1,0,0,1
307.91,17,3,0,241.37,0.2745,0,0,0,0,0
113.04,14,4,6,333.38,-0.659,0,0,0,0,0
561.28,12,2,6,650.31,-0.1367,0,0,0,0,0
3962.37,8,3,3,1000.65,2.9568,0,0,1,0,1
1511.93,10,1,8,1443.81,0.0471,0,0,0,0,0
169.25,21,2,4,119.57,0.412,0,1,0,0,0
1421.93,13,1,7,1057.5,0.3443,0,1,0,0,0
1954.67,11,0,7,142.95,12.586,0,0,1,0,0
291.26,13,0,6,764.89,-0.6184,0,0,0,0,0
1381.03,17,2,6,635.83,1.1702,0,1,0,0,0
1196.69,10,0,6,78.74,14.0199,0,0,1,0,1
197.46,8,2,1,5939.9,-0.9666,1,1,0,0,1
1875.59,14,1,6,89.64,19.7035,0,1,1,0,1
2543.2,15,1,5,773.59,2.2846,0,0,0,0,0
5566.81,16,2,8,493.78,10.253,0,1,0,0,1
5327.85,19,0,1,514.74,9.3324,0,0,0,0,0
138.86,11,3,2,109.92,0.2609,0,0,1,0,0
268.61,7,2,8,1131.5,-0.7619,0,0,1,0,0
2374.53,21,3,6,7047.44,-0.663,0,0,1,0,0
2370.08,12,1,7,602.21,2.9308,0,0,0,0,1
2374.57,14,1,6,870.31,1.7264,0,0,1,0,0
354724.69,15,2,3,616.34,573.6081,0,0,0,0,0
2582.04,13,0,2,1670.72,0.5451,0,0,0,0,0
6023.05,8,2,3,1750.88,2.4386,0,1,0,0,1
4587.1,17,0,9,172.12,25.5032,0,0,0,0,0
2913.43,17,0,4,245.53,10.8216,1,0,1,0,0
683.41,13,1,2,295.13,1.3112,0,0,0,0,0
3423.62,12,1,8,743.48,3.6,0,0,1,0,1
344.04,7,0,6,1755.28,-0.8035,0,0,0,0,0
768.75,7,0,4,56.89,12.2975,0,0,0,0,1
529.51,10,1,9,1037.89,-0.4893,0,0,0,0,0
1239.93,10,1,6,3145.25,-0.6056,0,0,1,0,0
35312.34,21,2,4,471.84,73.6834,0,0,0,0,1
66.63,17,3,4,614.0,-0.89,0,0,0,0,0
3069.87,15,1,5,1776.83,0.7273,0,0,0,0,0
97.6,13,3,3,1428.81,-0.931,0,0,1,0,0
540.29,8,2,6,469.93,0.1494,0,0,1,0,0
5616.29,22,1,4,999.91,4.6122,0,0,0,0,0
1207.64,11,2,5,28.32,40.2289,1,0,0,0,1
217.76,7,1,4,979.04,-0.7768,0,0,1,0,0
375.04,13,0,4,677.52,-0.4458,0,0,0,0,0
3039.34,19,0,2,3338.61,-0.0896,0,0,0,0,0
366.67,19,2,5,3443.72,-0.8933,0,0,0,0,0
1517.3,1,1,2,562.19,1.6959,0,0,0,1,0
1174.22,19,1,5,2555.59,-0.5403,0,0,0,0,0
412.65,9,1,7,313.95,0.3134,0,0,0,0,0
27334.81,5,3,6,671.78,39.6314,0,0,0,0,0
2838.07,18,2,4,2398.46,0.1832,0,1,0,0,0
52.58,19,0,0,828.52,-0.9354,0,0,1,0,0
1450.53,14,0,3,1289.5,0.1248,0,0,1,0,0
406.39,14,3,5,674.05,-0.3965,0,0,1,0,1
3938.87,18,2,9,350.27,10.216,0,0,0,0,0
334.03,17,2,3,542.81,-0.3839,0,0,1,0,0
923.25,19,2,7,395.55,1.3307,0,0,0,0,0
2339.01,13,1,4,406.72,4.7392,0,0,0,0,1
4018.37,22,3,6,2531.82,0.5869,0,0,0,0,0
181.19,23,1,5,291.6,-0.3773,1,0,0,1,0
663.98,7,1,6,191.74,2.45,0,0,0,0,0
537.85,18,0,2,4538.47,-0.8813,0,0,0,0,0
411.58,13,1,5,592.02,-0.3043,0,0,0,0,0
15493.59,11,4,8,2230.38,5.944,0,0,0,0,1
2013.18,14,2,6,2889.43,-0.3032,0,0,0,0,0
165.45,6,1,9,809.17,-0.7945,0,0,0,0,0
4345.05,13,0,7,1708.88,1.5417,0,0,0,0,1
26455.9,19,0,3,417.42,62.2303,0,0,0,0,0
5160.03,8,4,2,224.52,21.8852,0,0,1,0,0
112.27,12,2,8,895.66,-0.8737,0,0,0,0,0
530.41,21,1,3,5073.99,-0.8953,0,0,0,0,1
7334.66,12,0,7,121.04,59.1072,0,0,0,0,0
379.36,10,3,6,1294.81,-0.7065,0,0,1,0,0
2133.95,12,2,2,438.62,3.8564,0,0,0,0,1
3505.02,13,3,4,112.58,29.8693,0,0,0,0,1
273.04,15,3,5,620.23,-0.5589,0,0,0,0,0
1002.96,17,4,5,409.79,1.444,0,0,0,0,1
8.48,12,1,4,325.13,-0.9709,0,0,0,0,1
235.9,18,1,5,655.42,-0.6391,0,0,0,0,1
750.81,13,1,5,646.58,0.161,0,0,1,0,1
168.73,10,1,10,68.89,1.4287,0,0,1,0,0
12690.6,15,0,3,3921.14,2.2359,0,0,0,0,0
128.35,16,1,3,3024.69,-0.9572,0,1,0,0,0
566.76,13,0,2,3310.64,-0.8286,0,0,1,0,0
1334.23,6,3,3,684.58,0.9476,0,1,0,0,0
9527.24,8,1,0,771.93,11.3274,0,0,1,0,0
127.26,9,2,6,2270.07,-0.9435,0,0,0,0,0
6277.62,9,0,4,3845.63,0.6322,0,1,0,0,0
1113.6,15,0,9,2611.47,-0.5734,0,0,0,0,1
251.57,2,1,6,709.7,-0.6446,0,0,1,1,0
2193.28,17,1,6,851.66,1.5735,0,0,1,0,0
1478.21,9,1,5,1876.06,-0.2119,0,0,1,0,0
445.71,10,1,5,464.29,-0.0399,0,0,1,0,0
1217.68,13,2,4,969.07,0.2563,1,0,1,0,0
615.25,8,5,4,204.44,1.9997,0,0,1,0,0
1300.2,19,0,7,132.75,8.7287,0,1,0,0,0
2960.74,7,2,7,419.06,6.0508,0,0,0,0,0
11837.47,12,1,1,438.35,25.9457,0,1,0,0,1
171.28,18,3,2,434.68,-0.6046,0,0,0,0,0
26891.08,14,1,10,674.9,38.7872,0,0,0,0,1
58.67,9,1,7,1166.54,-0.9489,0,0,0,0,0
873.34,12,2,5,618.3,0.4118,0,0,0,0,0
2650.43,16,2,5,1094.92,1.4194,1,0,1,0,0
1671.52,22,2,8,744.43,1.2437,1,0,0,0,0
430.93,19,1,7,1271.2,-0.6605,0,0,0,0,0
802.57,10,3,4,253.64,2.1557,0,0,0,0,1
523.48,23,4,7,1753.56,-0.7011,0,0,0,1,1
453.03,0,1,5,1127.15,-0.5975,0,0,0,1,0
3922.18,4,4,4,296.25,12.198,0,1,0,1,1
1873.42,18,1,5,760.96,1.46,0,0,0,0,0
387.86,8,0,4,311.57,0.244,0,0,0,0,1
4227.64,6,3,5,2675.24,0.5801,0,0,0,0,0
1738.8,9,2,6,114.75,14.0306,0,0,0,0,0
3711.88,12,1,4,348.27,9.6303,0,0,0,0,0
2819.86,16,6,6,1476.82,0.9088,0,1,1,0,0
316.24,14,1,9,1105.29,-0.7132,0,0,1,0,1
473.3,9,1,4,1970.02,-0.7594,0,0,0,0,0
3364.18,13,0,6,178.75,17.7215,0,0,0,0,1
2739.57,20,1,2,243.58,10.2054,0,0,0,0,1
1062.78,18,3,8,1911.79,-0.4439,0,0,1,0,0
1307.66,10,1,2,1723.07,-0.2409,0,0,0,0,0
7453.93,22,2,3,289.15,24.6932,0,0,1,0,0
451.53,16,0,4,5132.75,-0.9119,1,0,0,0,1
2491.51,6,0,5,703.31,2.5389,0,0,1,0,0
809.74,5,0,7,463.88,0.744,0,0,0,0,0
791.14,8,0,4,166.44,3.7309,0,0,1,0,1
5699.68,16,3,11,1209.92,3.7077,0,0,0,0,0
3782.44,8,3,2,978.96,2.8608,0,0,0,0,0
3715.48,13,2,6,485.47,6.6397,0,0,0,0,1
7771.5,7,0,3,398.17,18.4718,0,0,0,0,0
1131.73,20,2,3,377.64,1.9916,0,0,1,0,0
3050.1,10,3,5,147.71,19.517,0,0,0,0,1
688.56,20,1,5,1848.12,-0.6271,0,0,1,0,1
1783.35,21,2,7,2429.01,-0.2657,0,0,1,0,0
902.15,0,5,6,52.83,15.7783,0,0,1,1,0
1268.38,12,3,4,593.01,1.137,0,0,0,0,0
2677.76,3,4,3,817.81,2.2715,0,0,1,1,1
321.39,20,0,7,1395.5,-0.7691,0,0,0,0,0
25300.54,13,3,3,423.57,58.594,0,0,1,0,1
242.49,7,0,3,556.47,-0.5632,0,0,0,0,0
177.46,7,1,4,853.99,-0.7913,0,0,1,0,0
6230.22,11,0,5,769.85,7.0835,0,0,1,0,0
3595.7,21,0,5,1460.11,1.4616,0,0,1,0,1
2796.66,16,2,8,204.74,12.5979,0,0,0,0,0
2814.44,19,3,10,187.38,13.9459,0,0,0,0,1
1076.67,11,1,6,445.6,1.413,0,0,1,0,0
285.46,6,0,7,145.48,0.9556,0,0,0,0,0
1228.69,22,2,5,8603.85,-0.8571,0,0,0,0,0
397.13,2,1,5,252.49,0.5706,0,0,1,1,0
4734.73,21,0,2,1728.17,1.7387,0,0,1,0,0
879.55,11,2,1,3062.98,-0.7126,0,0,0,0,0
317.91,0,0,5,860.27,-0.6297,0,0,0,1,0
677.17,16,1,4,304.67,1.2186,0,0,0,0,0
2037.33,22,1,0,777.25,1.6191,0,0,1,0,0
470.79,22,3,4,167.75,1.7958,0,1,0,0,0
319.47,8,3,5,155.1,1.053,0,0,0,0,0
1580.55,8,4,6,4914.21,-0.6782,0,0,0,0,1
1583.59,14,1,4,127.88,11.2948,0,0,0,0,0
512.65,15,0,7,108.21,3.7031,0,0,0,0,0
541.01,16,2,3,1339.9,-0.5958,0,0,0,0,0
1553.2,8,1,4,360.56,3.2986,0,1,0,0,1
124.94,21,4,4,2373.9,-0.947,0,0,0,0,1
132.79,15,3,8,19.78,5.439,0,0,0,0,1
373.28,18,1,3,599.0,-0.3762,0,0,0,0,0
796.18,13,4,5,172.57,3.5929,0,0,0,0,0
1748.23,11,1,7,89.18,18.3962,0,0,0,0,0
10026.98,22,2,5,153.46,63.923,0,0,0,0,1
3969.87,14,3,5,136.45,27.8894,0,0,0,0,0
862.72,19,0,6,475.32,0.8133,0,0,0,0,0
1065.79,21,3,4,371.21,1.8661,0,0,0,0,0
243.77,15,2,5,1169.56,-0.7909,0,0,0,0,0
1066.6,13,0,8,93.33,10.3175,0,0,0,0,0
711.24,0,2,5,1027.34,-0.3074,0,0,0,1,0
1779.48,5,0,2,1752.19,0.0156,0,0,0,0,0
317.08,8,0,7,2017.21,-0.8424,0,0,0,0,0
2389.93,8,1,3,1303.09,0.8334,0,1,0,0,0
10928.27,9,1,4,940.21,10.6119,1,0,1,0,1
931.56,10,1,4,339.46,1.7391,0,0,0,0,0
2003.33,11,3,3,2015.38,-0.006,0,1,0,0,0
3087.81,12,1,7,1797.9,0.717,0,0,0,0,1
600.74,7,2,5,498.72,0.2042,0,0,1,0,0
1534.77,6,2,1,195.95,6.7978,0,0,0,0,0
1117.54,15,1,3,244.68,3.5528,1,0,0,0,0
1269.67,13,3,5,151.57,7.3283,0,0,1,0,0
343.95,12,0,7,280.94,0.2235,0,0,0,0,0
1137.7,15,2,6,1329.16,-0.1439,1,0,1,0,0
2314.61,18,3,1,1775.89,0.3032,0,0,1,0,0
9669.34,12,0,2,394.3,23.4631,0,0,0,0,0
4623.5,15,3,2,406.73,10.3421,0,0,0,0,0
27716.24,21,2,4,333.81,81.7856,0,0,0,0,0
346.88,18,0,4,233.77,0.4818,0,0,0,0,0
4058.14,12,0,12,234.51,16.2353,0,0,0,0,0
1443.77,15,1,3,2842.9,-0.492,0,0,1,0,0
29281.3,8,4,4,388.37,74.2036,0,0,1,0,1
326.21,13,1,9,608.48,-0.4631,1,0,0,0,0
311.19,22,1,6,43.0,6.0945,0,0,1,0,0
446.26,13,2,4,261.9,0.7013,0,0,1,0,0
45.34,20,1,5,240.82,-0.8084,0,1,0,0,1
498.38,11,2,0,1242.86,-0.5985,0,1,0,0,1
351.18,23,1,9,1741.19,-0.7979,0,0,0,1,0
1374.15,14,4,4,1778.74,-0.2273,0,0,0,0,0
1831.03,6,1,3,148.37,11.265,1,0,1,0,0
18292.68,14,3,4,2425.73,6.5384,0,0,0,0,0
4562.54,9,2,9,363.89,11.5067,0,0,0,0,1
461.57,5,1,6,239.36,0.9245,0,1,0,0,0
284.97,18,1,5,915.8,-0.6881,0,0,1,0,0
2293.6,9,3,4,2567.19,-0.1065,0,0,0,0,0
151.36,17,0,5,888.56,-0.8287,0,1,0,0,0
17106.06,9,1,5,152.09,110.7421,0,0,0,0,0
6432.77,8,1,6,1274.14,4.0455,0,0,0,0,1
542.53,22,2,3,2600.28,-0.7911,0,0,1,0,1
83.96,11,3,4,187.41,-0.5491,0,0,0,0,1
8356.61,14,3,1,707.37,10.7983,0,0,0,0,0
923.52,14,3,2,508.97,0.8129,0,0,0,0,0
7021.45,13,2,4,763.02,8.1915,0,0,0,0,1
100.32,20,1,4,184.34,-0.4533,0,0,0,0,0
446.28,15,0,6,222.22,1.0037,0,0,1,0,0
1105.29,11,2,3,1154.66,-0.0427,0,0,0,0,0
1176.7,19,4,6,1372.21,-0.1424,0,0,0,0,0
558.3,8,1,5,1138.19,-0.509,0,0,1,0,0
2791.33,13,1,0,1791.7,0.5576,0,0,0,0,0
221.09,21,2,3,354.85,-0.3759,0,0,0,0,0
885.75,14,2,3,3753.42,-0.7638,0,0,1,0,0
1313.49,18,1,8,195.89,5.6764,0,0,1,0,1
2372.4,15,2,5,1351.1,0.7554,0,0,0,0,0
3188.87,18,5,6,1077.17,1.9586,0,1,0,0,1
202.97,21,2,5,686.05,-0.7031,0,0,0,0,0
109.82,9,1,2,2060.81,-0.9463,1,0,1,0,1
7454.07,8,0,7,2188.07,2.4056,0,0,1,0,0
1805.28,12,0,4,1219.56,0.4799,0,0,0,0,1
356.83,16,0,6,415.38,-0.1406,0,1,1,0,0
11234.31,9,4,6,4832.34,1.3245,0,0,0,0,1
1304.42,0,2,6,376.64,2.4567,0,0,0,1,0
6431.39,10,0,6,733.47,7.7578,0,0,0,0,0
1213.52,22,1,5,1837.83,-0.3395,0,0,0,0,0
24127.85,16,1,5,399.5,59.2469,0,1,1,0,1
15260.32,11,1,7,608.85,24.0247,0,0,0,0,1
754.88,8,2,5,95.13,6.8633,0,0,0,0,0
4709.59,10,3,7,1194.86,2.9391,0,0,1,0,1
2887.26,8,1,5,2762.34,0.0452,0,0,0,0,0
8543.68,7,1,7,1076.36,6.9311,0,0,0,0,1
257.91,20,2,7,565.87,-0.5433,0,0,0,0,0
3068.91,23,2,4,1118.14,1.7431,0,0,0,1,1
5364.92,8,2,7,3043.56,0.7625,0,0,1,0,0
78.41,6,2,3,869.19,-0.9087,0,0,1,0,0
185.88,10,3,5,3160.97,-0.9409,0,0,0,0,0
51.48,12,1,11,904.1,-0.942,0,0,0,0,1
732.08,8,1,4,588.62,0.2433,0,0,0,0,0
3217.35,10,1,4,1478.51,1.1753,0,1,1,0,1
10441.42,8,2,6,1118.36,8.3289,0,1,1,0,0
1225.55,17,2,4,518.31,1.3619,0,0,0,0,0
12618.55,16,1,5,1504.86,7.3803,0,1,0,0,0
138.36,15,1,7,747.87,-0.8139,0,1,0,0,0
85.19,11,2,4,1053.48,-0.9183,0,0,0,0,0
1008.96,20,1,3,218.65,3.5981,0,0,0,0,1
1951.0,22,1,7,1233.81,0.5808,0,0,0,0,0
1044.15,8,2,2,1465.98,-0.2876,0,0,0,0,1
49.35,8,2,1,1421.77,-0.9646,0,1,1,0,0
959.41,13,2,2,1234.76,-0.2228,0,0,1,0,0
154.98,7,3,3,877.18,-0.8224,0,0,0,0,0
2994.43,12,5,2,158.22,17.8133,0,0,0,0,0
1900.55,14,0,8,1071.57,0.7729,0,0,0,0,0
267.78,13,1,2,1081.2,-0.7516,0,0,0,0,0
507.35,10,1,7,867.86,-0.4149,0,0,1,0,0
223.9,13,1,2,183.33,0.2201,0,0,1,0,0
998.23,21,3,5,594.42,0.6782,0,0,0,0,0
4594.95,8,3,4,445.38,9.2959,0,0,0,0,0
249.99,15,2,3,461.93,-0.4578,0,0,1,0,0
2335.71,6,1,0,242.69,8.5888,0,0,0,0,0
495.03,6,0,2,2477.38,-0.7999,0,0,0,0,0
333.85,13,2,4,939.27,-0.6439,0,0,0,0,0
933.98,7,3,6,1431.05,-0.3471,0,0,1,0,0
232.09,3,0,5,680.99,-0.6582,0,0,0,1,0
477.96,8,0,5,728.65,-0.3436,0,0,0,0,0
181.85,14,2,3,260.83,-0.3016,0,1,1,0,0
